name,ra,rp,ratio,T,vt,family,method,denom,h,e_phase,energy_max,energy_final,L_max,pericentre_error,apocentre_error,angular_phase_error
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,KDK,6,2.0943951023931953,0.8204480401970662,0.04142081017982827,0.012599838066526203,1.4432899320127035e-15,0.0,0.3079411035397219,-6.7672245621575655
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,KDK,6,7.2551974569368705,0.8491340691529262,0.07953665134471759,0.06762349542963672,1.0255800994045674e-15,0.0,0.41525697132069733,-12.138123378769308
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,KDK,6,36.42682364125237,2.8531342081395454,0.11331629796306246,0.08053219383439218,1.0813367083216238e-15,0.0,0.49845595562143574,-15.711243746092016
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,KDK,6,0.18435751071369563,0.30191638573868146,0.0053011799941318615,0.0013579254779026882,6.126791845845791e-16,0.07907330748419192,0.0,0.1866313592804616
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,KDK,6,0.16757565092378648,1.6193186105669655,0.10223328579364772,0.10223328579364772,1.6878489473601687e-15,-0.13638448883137463,1.2697861935024461,-6.85390477615481
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,KDK,6,0.16209472719197862,1.4012847112729931,0.07211779471799966,0.05091681348503666,2.9254139027212937e-15,-0.04006100179399819,0.8222238627754258,-6.57982864019457
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,KDK,6,1.0986368272533016,1.2038617607406497,0.04923052686758746,0.00033510825019837653,8.326672684688674e-16,0.1419459592097625,0.048908925432083805,-0.9044634699388823
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,KDK,6,0.9191803484454187,5.585514429890739,0.7334431017305761,0.6733730359658455,4.32986979603811e-15,0.255762290564458,3.5689455872993667,-15.500891770634333
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,KDK,6,0.8632003625341836,23.23668320235934,1.0980970833756374,1.0596884766962114,1.4134526882259024e-13,0.5174778979487615,23.086802930068597,-30.89255739154736
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,KDK,6,21.972581981920943,1.1206461445106064,0.1210169864617386,0.04100070388946468,3.952144471470651e-16,0.3514682799981834,0.06416473232169384,-6.992102891873564
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,KDK,6,16.05275439418595,54.317353561325184,3.180470927082802,3.0096174958309607,1.171666703614651e-14,0.7193606418719567,52.289384930264134,-47.25617439772853
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,KDK,6,13.710077963461353,167.21617283417527,26.543469697223287,26.48561828079032,1.8471501503003412e-12,2.3994238474792735,165.83648276204084,-39.474801689706155
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,S4G,6,0.24586851558642542,0.036321179917694964,1.2415132381417518e-07,3.258666019949781e-09,8.145815190342614e-16,-0.0013223984601032357,0.0,-0.025863169626894944
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,S4G,6,0.36426823641252376,0.047728492463170694,1.8225251349572129e-07,6.294342398087999e-08,1.9309584077171856e-15,-0.0011627200511614422,0.0,-0.0332857981697785
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,S4G,6,0.7456458372409119,0.10693908883510975,5.378799656206314e-08,1.5912164445978144e-09,6.587687106528795e-16,-0.000402905342535842,0.0,-0.07558102905174024
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,S4G,6,2.0943951023931953,0.3380615711833031,4.125533922039182e-06,9.2986048239041e-07,6.661338147750939e-16,0.0,0.0024928545929172596,-0.23888837070812485
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,S4G,6,7.2551974569368705,0.7763836710532332,5.5932068558206535e-05,3.447509056186959e-05,6.837200662697116e-16,0.0,0.007942165010366894,-0.5537770378383016
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,S4G,6,36.42682364125237,1.2657950097348962,0.00018978989989734102,5.833171601131679e-06,1.0813367083216238e-15,0.0,0.014061457020413925,-0.9292948044845417
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,S4G,6,0.18435751071369563,0.02951286169725051,0.00021723306185420296,0.00012775660515072364,8.169055794461055e-16,-0.002382986006289056,0.0020491578886380757,-0.02852885203994049
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,S4G,6,0.16757565092378648,0.24639329809198277,0.0008928068828003754,3.434751284961793e-05,1.5753256842028242e-15,-0.0005070244034394502,0.010543064971344912,-0.2394600801911011
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,S4G,6,0.16209472719197862,2.2407199197676513,0.042915195918198756,0.03673175597827156,3.7612464463559485e-15,0.043302888937137705,0.4738403171736652,-3.4265672433347447
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,S4G,6,1.0986368272533016,0.2962316547035613,0.005019880584922837,0.0019954064202810096,4.996003610813204e-16,-0.00976070552284658,0.011777305251043702,-0.24099704814972256
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,S4G,6,0.9191803484454187,0.6874290005459845,0.027057708486421042,0.00172195326970617,1.831867990631508e-15,0.02127514439405717,0.013573862758122113,-0.6655470647355628
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,S4G,6,0.8632003625341836,1.6561001588079123,0.5101177400868857,0.01008023602324741,3.3514857555871913e-15,0.1111276404845675,0.030413813519657662,20.867151164155793
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,S4G,6,21.972581981920943,2.4787692861371298,0.03830520154032638,0.03830520154032638,3.952144471470651e-16,-0.011992273005788335,0.07837256165146674,-2.6094572575143644
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,S4G,6,16.05275439418595,25.580443126373787,2.3386640089561572,2.256710703677726,5.936444631647565e-15,0.2549599541205416,25.50807221652672,-25.2921337249581
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,S4G,6,13.710077963461353,112.16410500506537,12.486335700002924,12.484023043386651,5.650154968584843e-13,0.7024777502905033,111.24319304435853,-39.065837331046
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,KDK,8,0.18440138668981906,0.5344074521045822,0.000821006702933033,7.412972314059755e-06,1.3033304304548183e-15,0.0,0.1159614070233736,-0.38874939584036383
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,KDK,8,0.2732011773093928,0.882440516242551,0.0016300837260765958,0.0013326519352053914,1.5689037062702134e-15,0.0,0.11930077850801912,-0.6674938347837767
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,KDK,8,0.559234377930684,1.895395593227975,0.0047290822894247775,0.004046500705913069,6.587687106528795e-16,0.0,0.13136105443919985,-1.5002723764655173
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,KDK,8,1.5707963267948966,2.7950011633923633,0.013529608947387453,0.012762974308604846,1.1102230246251565e-15,0.0,0.1625349701919352,-3.5686942377210897
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,KDK,8,5.441398092702653,0.2823830197104485,0.027332721929426283,0.027262553997378626,8.546500828371396e-16,0.0,0.20914149514215818,-6.354432142003375
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,KDK,8,27.320117730939277,2.7078820787601705,0.04120498682595046,0.007229818767147155,1.5447667261737484e-15,0.0,0.2566497080085558,-8.787170093748458
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,KDK,8,0.13826813303527172,0.1223686981715248,0.0030280131125381745,0.0001789856634120584,6.126791845845791e-16,0.04277660410219722,0.0,0.07240952994691696
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,KDK,8,0.12568173819283987,0.6242929172484993,0.0117127367154305,0.0008692642781935389,6.751395789440675e-16,0.07986610941508597,0.0,0.43552853005905945
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,KDK,8,0.12157104539398397,0.8282400013284654,0.033555264654673574,0.019753637569556618,2.9254139027212937e-15,0.1327745735520384,0.37732293859801175,0.6570539360393965
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,KDK,8,0.8239776204399762,0.48531844871851615,0.032279623989614065,0.005769265598903395,4.996003610813204e-16,0.07971710343311522,0.010687360860518913,-0.3567664509976183
ra1_q0.2,1.0,0.2,0.2,5.515082090672513,0.16666666666666669,moderate,KDK,8,0.6893852613340641,1.9655081680221367,0.13561292175972534,0.08866957821930585,9.992007221626407e-16,0.16277705144132126,0.1932345069747201,-4.407704968435532
ra1_q0.05,1.0,0.05,0.05,5.179202175205102,0.047619047619047616,strong,KDK,8,0.6474002719006378,2.3924820136347265,0.5920527471923783,0.2525527364935337,5.974387651264124e-15,0.3187633416947308,2.4380921825860793,-21.017107613418695
ra10_q0.5,10.0,5.0,0.5,131.83549189152566,0.22473328748774737,moderate,KDK,8,16.479436486440708,1.9925552158665836,0.11187049638329637,0.001330294902241539,1.5808577885882605e-15,0.22061566478409436,0.02729611048963232,-4.399633111912628
ra10_q0.2,10.0,2.0,0.2,96.3165263651157,0.14213381090374028,moderate,KDK,8,12.039565795639463,34.52951402677217,1.8918278095146916,1.7005612437440618,2.499555634377922e-15,0.5281300917215661,32.504914604493045,-47.12613046970533
ra10_q0.05,10.0,0.5,0.05,82.26046778076812,0.05372153093502534,strong,KDK,8,10.282558472596016,163.75027656003883,25.52983969182002,25.45325266802959,3.203063345212015e-12,1.7458062851601412,162.465522964688,-39.38172438634886
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,S4G,8,0.18440138668981906,0.011203376631938431,1.2117810818194265e-08,2.4475712676120784e-10,8.145815190342614e-16,-0.00041338448255684446,0.0,-0.007971414634866392
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,S4G,8,0.2732011773093928,0.014793164894382736,1.8152136052474958e-08,6.790011268586498e-09,1.4482188057878893e-15,-0.0003676196619586958,0.0,-0.010309576645035179
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,S4G,8,0.559234377930684,0.03374547563970238,6.222780711973503e-09,2.563372779740764e-10,6.587687106528795e-16,-0.00013617897608212787,0.0,-0.02384050963220119
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,S4G,8,1.5707963267948966,0.11093609242531853,4.0886222970234104e-07,8.004099945798278e-08,7.771561172376096e-16,0.0,0.0007835307365557931,-0.07824408084302803
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,S4G,8,5.441398092702653,0.2669997069294638,6.189166302306148e-06,3.300034289033249e-06,6.837200662697116e-16,0.0,0.002628929050600822,-0.1882733905736771
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,S4G,8,27.320117730939277,0.4585495962169834,2.2602742534496886e-05,2.2377485696378294e-06,1.0813367083216238e-15,0.0,0.004813515410891434,-0.326457409942968
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,S4G,8,0.13826813303527172,0.0035929713280012233,3.458824242867257e-05,3.1286879302236305e-06,6.126791845845791e-16,-0.00042879274450777216,4.945382183069169e-05,-0.003581433189943084
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,S4G,8,0.12568173819283987,0.13038008031064138,0.0004406862330956087,1.593832366052174e-06,2.0254187368322027e-15,-0.002544665858377273,0.005205462996588639,-0.12584993480229656
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,S4G,8,0.12157104539398397,0.15921353957953252,0.009627293499375852,0.00961726259748345,3.1343720386299574e-15,0.02328547563170465,0.04914319734055289,-0.11385985751233108
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,S4G,8,0.8239776204399762,0.040853806693345554,0.0009511400339507203,0.00043235187981209566,8.326672684688674e-16,-0.0017813912698851908,0.0013668393347132657,-0.035783745818349644
