case,method,theta,h,t,phase_rms,phase_median,local_phase_rms,phase_p90,phase_p99,mass_profile_max_abs,energy_relative,com_drift,L_drift,runtime_to_output_s,total_runtime_s
S4G_theta0.5_d8,S4G,0.5,0.125,0.25,0.002024439754388588,2.870694926195861e-05,0.00313720970109481,0.0026670947256420044,0.008912252720034222,3.0000000000002247e-05,2.0066879057045726e-05,1.9764621467674434e-09,3.008783782009593e-08,0.21249786199769005,5.032519511063583
S4G_theta0.5_d8,S4G,0.5,0.125,1.0,0.0038447832588676973,0.0001436874722890929,0.008323078458301032,0.005637498448471583,0.016124404029176854,0.00010999999999999899,7.928639032111797e-05,9.240300263234699e-09,7.826984729791493e-08,0.8427852760069072,5.032519511063583
S4G_theta0.5_d8,S4G,0.5,0.125,2.0,0.007098512773511504,0.00037532051173492565,0.017547210398748042,0.009592975142114655,0.029666430027582215,0.00016999999999999654,0.00015195756504850005,1.8703959038042225e-08,1.3954698615421024e-07,1.6834400140214711,5.032519511063583
S4G_theta0.5_d8,S4G,0.5,0.125,4.0,0.018408866603703326,0.0012235410052716916,0.04409739171525617,0.021088642542159124,0.08187647509049724,0.00023000000000000104,0.00029921143794593816,6.082761098040115e-08,3.3283777159001194e-07,3.3569046100601554,5.032519511063583
S4G_theta0.5_d8,S4G,0.5,0.125,6.0,0.03627824309199038,0.0028266927462104697,0.08438771810344588,0.04006745721636357,0.1644667278215394,0.0003599999999999992,0.00044349901967650227,1.235089326539598e-07,2.997719346081421e-07,5.032519511063583,5.032519511063583
S4G_theta0.8_d128,S4G,0.8,0.0078125,0.25,8.51181897198484e-05,1.1436364256588583e-05,0.00010006362948520678,0.00010224620055769984,0.00036521598652666093,9.999999999999593e-06,4.215794740694822e-07,4.051228992166601e-08,1.4700864742409606e-07,1.438081435044296,34.33189419703558
S4G_theta0.8_d128,S4G,0.8,0.0078125,1.0,0.00022772730433895836,3.730226015920844e-05,0.0003190821785829053,0.00025719437546885537,0.0009993268052038691,1.0000000000010001e-05,8.790716779071969e-07,2.0592952001416286e-07,6.12382074677583e-07,5.7432026760070585,34.33189419703558
S4G_theta0.8_d128,S4G,0.8,0.0078125,2.0,0.0004013986075646845,7.200432299762327e-05,0.0006129817643633636,0.00043809645614195533,0.0017662619973115759,3.0000000000030003e-05,-2.5449188502665343e-07,2.7214706461663496e-07,1.1543780089349691e-06,11.469323666999117,34.33189419703558
S4G_theta0.8_d128,S4G,0.8,0.0078125,4.0,0.0007903633720796985,0.00016395037395150147,0.0014165381101161035,0.0008737919554079112,0.0034492389660849805,3.999999999998449e-05,-1.598629088019875e-06,4.293261720859194e-07,2.608858934816173e-06,22.89236706600059,34.33189419703558
S4G_theta0.8_d128,S4G,0.8,0.0078125,6.0,0.0014760855421660094,0.0002953556110620011,0.0030267130423454404,0.0015517702262309787,0.006471173793655351,8.99999999999998e-05,-7.204244162538664e-07,5.301479595923456e-07,3.5766327464126204e-06,34.33189419703558,34.33189419703558
S4G_theta0.8_d16,S4G,0.8,0.0625,0.25,0.0007243688336108905,1.8972492133420645e-05,0.00109729453327174,0.0009150801711456838,0.003254122550299522,2.0000000000000052e-05,8.245149649778057e-06,6.164125260653793e-09,1.5236239819094795e-07,0.1809146769810468,4.298258024966344
